iso,chain,sub_chain,2015
EC,Biomass,Biomass & Waste - Feedstock Supply,1
EG,Biomass,Biomass & Waste - Feedstock Supply,0
SV,Biomass,Biomass & Waste - Feedstock Supply,0
ET,Biomass,Biomass & Waste - Feedstock Supply,1
GH,Biomass,Biomass & Waste - Feedstock Supply,1
GT,Biomass,Biomass & Waste - Feedstock Supply,1
GY,Biomass,Biomass & Waste - Feedstock Supply,0
HT,Biomass,Biomass & Waste - Feedstock Supply,0
HN,Biomass,Biomass & Waste - Feedstock Supply,1
IN,Biomass,Biomass & Waste - Feedstock Supply,1
IN-AP,Biomass,Biomass & Waste - Feedstock Supply,1
IN-BR,Biomass,Biomass & Waste - Feedstock Supply,1
IN-MP,Biomass,Biomass & Waste - Feedstock Supply,1
IN-OR,Biomass,Biomass & Waste - Feedstock Supply,1
IN-UP,Biomass,Biomass & Waste - Feedstock Supply,1
IN-WB,Biomass,Biomass & Waste - Feedstock Supply,1
ID,Biomass,Biomass & Waste - Feedstock Supply,1
JM,Biomass,Biomass & Waste - Feedstock Supply,0
JO,Biomass,Biomass & Waste - Feedstock Supply,0
KE,Biomass,Biomass & Waste - Feedstock Supply,1
LB,Biomass,Biomass & Waste - Feedstock Supply,0
LR,Biomass,Biomass & Waste - Feedstock Supply,0
MW,Biomass,Biomass & Waste - Feedstock Supply,1
MX,Biomass,Biomass & Waste - Feedstock Supply,1
MZ,Biomass,Biomass & Waste - Feedstock Supply,0
MM,Biomass,Biomass & Waste - Feedstock Supply,0
NP,Biomass,Biomass & Waste - Feedstock Supply,0
NI,Biomass,Biomass & Waste - Feedstock Supply,0
NG,Biomass,Biomass & Waste - Feedstock Supply,1
PK,Biomass,Biomass & Waste - Feedstock Supply,1
PA,Biomass,Biomass & Waste - Feedstock Supply,0
PY,Biomass,Biomass & Waste - Feedstock Supply,0
PE,Biomass,Biomass & Waste - Feedstock Supply,1
RW,Biomass,Biomass & Waste - Feedstock Supply,1
SN,Biomass,Biomass & Waste - Feedstock Supply,1
SL,Biomass,Biomass & Waste - Feedstock Supply,1
ZA,Biomass,Biomass & Waste - Feedstock Supply,1
LK,Biomass,Biomass & Waste - Feedstock Supply,1
SR,Biomass,Biomass & Waste - Feedstock Supply,0
TJ,Biomass,Biomass & Waste - Feedstock Supply,0
TZ,Biomass,Biomass & Waste - Feedstock Supply,1
TT,Biomass,Biomass & Waste - Feedstock Supply,0
UG,Biomass,Biomass & Waste - Feedstock Supply,1
UY,Biomass,Biomass & Waste - Feedstock Supply,1
VE,Biomass,Biomass & Waste - Feedstock Supply,0
VN,Biomass,Biomass & Waste - Feedstock Supply,1
ZM,Biomass,Biomass & Waste - Feedstock Supply,1
ZW,Biomass,Biomass & Waste - Feedstock Supply,1
AR,Biomass,Biomass & Waste - O&M,1
BS,Biomass,Biomass & Waste - O&M,0
BD,Biomass,Biomass & Waste - O&M,0
BB,Biomass,Biomass & Waste - O&M,0
BZ,Biomass,Biomass & Waste - O&M,0
BO,Biomass,Biomass & Waste - O&M,0
BW,Biomass,Biomass & Waste - O&M,0
BR,Biomass,Biomass & Waste - O&M,1
CM,Biomass,Biomass & Waste - O&M,0
CL,Biomass,Biomass & Waste - O&M,1
CN,Biomass,Biomass & Waste - O&M,1
CO,Biomass,Biomass & Waste - O&M,0
CD,Biomass,Biomass & Waste - O&M,1
